episode,state,action,reward,epsilon
1,1_0_1_0,5,3.0,0.05
2,3_3_0_0,5,2.0,0.05
3,2_7_1_1,4,7.0,0.05
4,2_3_0_1,1,3.0,0.05
5,2_5_0_1,3,1.0,0.05
6,1_0_1_1,0,5.0,0.05
7,1_3_1_1,0,9.0,0.05
8,3_1_0_0,3,2.0,0.05
9,3_1_0_1,5,0.0,0.05
10,1_0_0_1,3,1.0,0.05
11,2_4_0_0,3,2.0,0.05
12,2_5_1_1,0,9.0,0.05
13,3_7_0_0,5,2.0,0.05
14,1_3_1_0,1,6.0,0.05
15,1_1_1_0,5,3.0,0.05
16,1_4_1_0,5,3.0,0.05
17,3_2_1_0,1,6.0,0.05
18,2_0_0_0,5,2.0,0.05
19,1_5_0_0,3,2.0,0.05
20,2_7_1_1,4,7.0,0.05
21,1_6_1_1,5,1.0,0.05
22,2_5_1_0,5,3.0,0.05
23,1_6_0_1,5,0.0,0.05
24,3_2_1_1,4,7.0,0.05
25,3_2_0_0,5,2.0,0.05
26,1_6_1_1,5,1.0,0.05
27,1_7_0_0,5,2.0,0.05
28,3_3_0_1,3,1.0,0.05
29,2_6_0_1,1,3.0,0.05
30,2_0_1_0,5,3.0,0.05
31,2_5_0_1,2,0.0,0.05
32,3_5_1_1,0,9.0,0.05
33,1_3_1_0,1,6.0,0.05
34,1_0_1_1,0,5.0,0.05
35,2_2_1_0,1,6.0,0.05
36,3_5_1_0,5,3.0,0.05
37,3_0_0_1,4,1.5,0.05
38,3_2_1_1,4,7.0,0.05
39,3_2_0_1,3,1.0,0.05
40,1_3_1_1,0,9.0,0.05
41,1_6_0_1,5,0.0,0.05
42,3_5_1_0,5,3.0,0.05
43,2_0_1_0,5,3.0,0.05
44,2_5_0_0,5,2.0,0.05
45,1_5_1_1,4,7.0,0.05
46,2_3_1_0,1,6.0,0.05
47,3_2_0_0,5,2.0,0.05
48,1_6_1_0,5,3.0,0.05
49,3_2_1_1,4,7.0,0.05
50,1_7_1_1,1,9.0,0.05
51,1_7_1_1,1,9.0,0.05
52,2_7_0_0,2,2.0,0.05
53,1_4_1_0,5,3.0,0.05
54,2_1_0_0,3,2.0,0.05
55,1_5_1_1,2,-5.0,0.05
56,1_3_1_0,1,6.0,0.05
57,2_7_0_1,3,1.0,0.05
58,1_2_1_0,5,3.0,0.05
59,3_7_1_1,0,9.0,0.05
60,2_2_1_1,0,5.0,0.05
61,2_4_1_1,4,7.0,0.05
62,1_7_1_0,2,-3.0,0.05
63,2_2_1_0,1,6.0,0.05
64,2_0_1_0,5,3.0,0.05
65,3_5_1_1,0,9.0,0.05
66,3_6_1_0,2,-3.0,0.05
67,3_0_0_1,4,1.5,0.05
68,2_0_0_1,4,1.5,0.05
69,1_2_1_0,5,3.0,0.05
70,3_5_1_0,5,3.0,0.05
71,1_3_1_0,1,6.0,0.05
72,2_6_0_0,3,2.0,0.05
73,1_5_1_0,5,3.0,0.05
74,1_5_0_1,0,1.5,0.05
75,3_6_0_1,3,1.0,0.05
76,3_4_1_1,5,1.0,0.05
77,2_7_0_0,2,2.0,0.05
78,3_7_1_0,5,3.0,0.05
79,1_7_0_1,1,3.0,0.05
80,2_5_1_0,5,3.0,0.05
81,3_1_1_1,4,7.0,0.05
82,2_2_0_0,3,2.0,0.05
83,2_5_1_1,0,9.0,0.05
84,1_7_1_1,1,9.0,0.05
85,3_6_1_0,2,-3.0,0.05
86,3_0_0_1,4,1.5,0.05
87,2_5_1_1,0,9.0,0.05
88,1_0_1_1,0,5.0,0.05
89,2_3_0_0,3,2.0,0.05
90,2_7_1_1,4,7.0,0.05
91,3_4_1_1,5,1.0,0.05
92,3_6_0_0,5,2.0,0.05
93,1_7_0_1,1,3.0,0.05
94,2_7_1_1,4,7.0,0.05
95,3_5_1_0,5,3.0,0.05
96,2_1_1_0,5,3.0,0.05
97,3_4_0_0,2,2.0,0.05
98,2_3_0_0,3,2.0,0.05
99,3_7_1_0,5,3.0,0.05
100,1_4_1_1,4,7.0,0.05
101,1_0_1_0,5,3.0,0.05
102,1_3_1_0,1,6.0,0.05
103,2_4_1_1,2,-5.0,0.05
104,2_0_0_0,5,2.0,0.05
105,2_5_0_0,5,2.0,0.05
106,1_0_1_0,5,3.0,0.05
107,2_7_1_1,4,7.0,0.05
108,2_4_1_0,5,3.0,0.05
109,2_7_0_1,1,3.0,0.05
110,2_7_0_1,3,1.0,0.05
111,1_3_0_0,3,2.0,0.05
112,3_0_1_0,1,2.0,0.05
113,1_2_0_0,3,2.0,0.05
114,2_6_1_0,5,3.0,0.05
115,1_3_0_0,3,2.0,0.05
116,1_6_0_1,5,0.0,0.05
117,2_5_1_0,4,1.0,0.05
118,3_0_1_0,1,2.0,0.05
119,3_3_1_0,1,6.0,0.05
120,1_0_1_1,0,5.0,0.05
121,1_1_1_1,0,9.0,0.05
122,1_1_1_0,5,3.0,0.05
123,2_6_1_1,5,1.0,0.05
124,1_4_0_0,5,2.0,0.05
125,3_2_1_1,4,7.0,0.05
126,2_0_0_0,5,2.0,0.05
127,2_4_0_1,3,1.0,0.05
128,3_6_1_1,1,9.0,0.05
129,1_1_1_1,0,9.0,0.05
130,1_6_1_0,5,3.0,0.05
131,1_3_1_0,1,6.0,0.05
132,3_4_0_0,2,2.0,0.05
133,2_0_0_0,5,2.0,0.05
134,2_2_0_1,5,0.0,0.05
135,2_7_1_0,5,3.0,0.05
136,3_6_1_1,1,9.0,0.05
137,2_3_0_0,3,2.0,0.05
138,3_3_1_1,1,9.0,0.05
139,3_3_0_1,3,1.0,0.05
140,1_2_0_1,1,3.0,0.05
141,3_0_0_1,4,1.5,0.05
142,1_0_1_0,5,3.0,0.05
143,2_6_1_1,5,1.0,0.05
144,1_2_1_1,4,7.0,0.05
145,2_3_0_1,0,1.5,0.05
146,1_4_0_0,5,2.0,0.05
147,1_3_0_1,1,3.0,0.05
148,1_7_1_0,2,-3.0,0.05
149,3_1_0_1,5,0.0,0.05
150,2_2_0_0,3,2.0,0.05
151,3_6_1_1,1,9.0,0.05
152,3_4_1_1,5,1.0,0.05
153,1_3_0_1,1,3.0,0.05
154,1_0_0_1,3,1.0,0.05
155,1_2_1_0,5,3.0,0.05
156,3_2_0_1,3,1.0,0.05
157,1_2_1_1,4,7.0,0.05
158,3_3_0_1,3,1.0,0.05
159,2_6_1_0,5,3.0,0.05
160,2_7_0_1,3,1.0,0.05
161,2_4_1_1,4,7.0,0.05
162,1_7_0_1,1,3.0,0.05
163,2_5_1_0,5,3.0,0.05
164,3_1_1_1,4,7.0,0.05
165,3_5_0_1,3,1.0,0.05
166,2_0_0_1,4,1.5,0.05
167,1_7_0_0,5,2.0,0.05
168,3_6_0_1,3,1.0,0.05
